classification,origin,Distance (m),Easting,Northing,Elevation,intensity,returnNumber,returns,pointSourceID
Ground,Point Cloud,3480.167302402744,-12333873.820141373,4636578.964855102,1404.7268815089265,0.09228656443121996,1,1,216
Ground,Point Cloud,3481.0469513213066,-12333874.94076233,4636578.990616506,1404.7075604579138,0.0891126878767071,1,1,216
Ground,Point Cloud,3482.4472534309643,-12333876.724739375,4636579.022818257,1404.6592578303816,0.09277485313191425,1,1,216
Ground,Point Cloud,3483.9995961378627,-12333878.701926928,4636579.116203336,1404.5980745021745,0.07568474860761425,1,1,216
Ground,Point Cloud,3485.340295598504,-12333880.411839943,4636578.926213001,1404.507909597448,0.07495231555657282,1,1,216
Ground,Point Cloud,3487.8716409973676,-12333883.635235287,4636579.164505963,1404.0892868255037,0.07177843900205996,1,1,216
Unclassified,Point Cloud,3489.1415992725924,-12333885.254983395,4636578.977735804,1404.25995610945,0.07104600595101854,1,1,216
Ground,Point Cloud,3490.251397734344,-12333886.668640297,4636579.029258608,1403.8091315858178,0.07031357289997711,1,1,216
Ground,Point Cloud,3491.701474325604,-12333888.517020842,4636578.945534053,1403.6191412508583,0.07592889295796139,1,1,216
Ground,Point Cloud,3492.834980667223,-12333889.95965932,4636579.14196474,1403.4098298648862,0.07861448081177996,1,1,216
Ground,Point Cloud,3478.1538141997407,-12333871.25527185,4636578.882740635,1404.8089959757308,0.08642710002288853,1,1,216
Ground,Point Cloud,3479.0744230512973,-12333872.427415611,4636578.987396333,1404.768743786121,0.09155413138017852,1,1,216
Ground,Point Cloud,3478.9932653477445,-12333872.327590182,4636578.563943296,1404.768743786121,0.09399557488364996,1,1,216
Ground,Point Cloud,3479.3233262455506,-12333872.747823041,4636578.602585396,1404.7590832606145,0.08813611047531854,1,1,216
Ground,Point Cloud,3479.3956386291284,-12333872.83637786,4636579.026038432,1404.7494227351083,0.0959487296864271,1,1,216
Ground,Point Cloud,3479.764787411219,-12333873.30813352,4636578.861809497,1404.728491596511,0.09301899748226139,1,1,216
Ground,Point Cloud,3480.0936408231937,-12333873.729976468,4636578.528521368,1404.7397622096016,0.08984512092774853,1,1,216
Ground,Point Cloud,3480.605189306956,-12333874.378841763,4636578.876300289,1404.7188310710044,0.09643701838712139,1,1,216
Ground,Point Cloud,3480.974660334432,-12333874.852207514,4636578.5703836465,1404.7091705454982,0.0878919661249714,1,1,216
Ground,Point Cloud,3481.636406817186,-12333875.691063145,4636579.082391499,1404.6898494944853,0.09863431754024567,1,1,216
Ground,Point Cloud,3481.5656254876085,-12333875.604118416,4636578.699190653,1404.6898494944853,0.09887846189059281,1,1,216
Ground,Point Cloud,3481.9849860283866,-12333876.138667494,4636578.675039337,1404.668918355888,0.09130998702983138,1,1,216
Ground,Point Cloud,3482.057127251366,-12333876.22722231,4636579.072730973,1404.668918355888,0.09912260624093995,1,1,216
Unclassified,Point Cloud,3482.375283366724,-12333876.636184558,4636578.650888023,1404.6898494944853,0.08496223392080568,1,1,216
Ground,Point Cloud,3482.7162234191746,-12333877.069298118,4636578.805456433,1404.6592578303816,0.09057755397878996,1,1,216
Ground,Point Cloud,3483.1681144477734,-12333877.6424893,4636579.1129831625,1404.628666166278,0.08642710002288853,1,1,216
Ground,Point Cloud,3483.095812761614,-12333877.553934481,4636578.691140215,1404.6399367793688,0.08813611047531854,1,1,216
Ground,Point Cloud,3483.4666517362602,-12333878.025690144,4636578.781305122,1404.6190056407718,0.07617303730830854,1,1,216
Ground,Point Cloud,3483.926105717048,-12333878.611762023,4636578.705631003,1404.599684589759,0.08203250171663996,1,1,216
Ground,Point Cloud,3484.377484590328,-12333879.18656329,4636578.745883191,1404.5690929256552,0.0856946669718471,1,1,216
Ground,Point Cloud,3484.448437080511,-12333879.273508022,4636579.154845439,1404.5594324001488,0.0878919661249714,1,1,216
Ground,Point Cloud,3484.9478240418503,-12333879.911102705,4636579.003497205,1404.528840736045,0.07397573815518425,1,1,216
Ground,Point Cloud,3484.876785974164,-12333879.824157976,4636578.581654261,1404.5385012615516,0.07617303730830854,1,1,216
Ground,Point Cloud,3485.717282823931,-12333880.893256132,4636578.80062617,1404.4998591595258,0.07470817120622568,1,1,216
Ground,Point Cloud,3486.038081200477,-12333881.302218378,4636578.776474858,1404.4885885464353,0.08398565651941711,1,1,216
Ground,Point Cloud,3486.1102117278897,-12333881.390773194,4636579.172556401,1404.4096942547994,0.0891126878767071,1,1,216
Unclassified,Point Cloud,3486.467967880988,-12333881.849648157,4636578.815116959,1404.3887631162022,0.07910276951247425,1,1,216
Ground,Point Cloud,3486.8687164752446,-12333882.360045921,4636578.842488448,1404.279277160463,0.0776379034103914,1,1,216
Ground,Point Cloud,3487.379988148812,-12333883.010521304,4636578.958414756,1404.21970391984,0.0673838406958114,1,1,216
Ground,Point Cloud,3487.789059214032,-12333883.53379977,4636578.716901613,1404.1697912047237,0.06933699549858854,1,1,216
Ground,Point Cloud,3488.339856043389,-12333884.234187867,4636578.885960813,1404.1086078765163,0.0725108720531014,1,1,216
Unclassified,Point Cloud,3488.7092508661626,-12333884.70594353,4636578.758763892,1404.2293644453466,0.08374151216906996,1,1,216
Unclassified,Point Cloud,3488.781295814206,-12333884.794498347,4636579.14196474,1404.1488600661264,0.07641718165865569,1,1,216
Unclassified,Point Cloud,3489.3899234852033,-12333885.573780738,4636578.6959704785,1404.2390249708528,0.06518654154268712,1,1,216
Unclassified,Point Cloud,3489.472334111666,-12333885.675216258,4636579.117813423,1404.0087824462835,0.07641718165865569,1,1,216
Ground,Point Cloud,3489.8417289344397,-12333886.146971919,4636578.990616506,1403.9298881546479,0.07812619211108568,1,1,216
Ground,Point Cloud,3490.17927790435,-12333886.580085479,4636578.63478715,1403.8687048264405,0.08130006866559854,1,1,216
Ground,Point Cloud,3490.7213898731898,-12333887.269202966,4636578.827997659,1403.789810534805,0.0754406042572671,1,1,216
