subsets,resolution,astar,total,num_points,cost,path_length
2600.000000,6000.000000,151.582347,151.582434,11161732.000000,1205.578522,905.871789
2700.000000,6000.000000,157.210627,157.210715,11161732.000000,1205.578522,905.871789
2800.000000,6000.000000,163.620693,163.620779,11161732.000000,1230.816847,874.408109
2900.000000,6000.000000,169.188275,169.188363,11161732.000000,1230.816847,874.408109
3000.000000,6000.000000,174.353009,174.353102,11161732.000000,1230.816847,874.408109
3100.000000,6000.000000,179.778424,179.778516,11161732.000000,1230.816847,874.408109
3200.000000,6000.000000,186.241573,186.241662,11161732.000000,1230.816847,874.408109
3300.000000,6000.000000,192.101718,192.101812,11161732.000000,1230.816847,874.408109
3400.000000,6000.000000,196.275968,196.276059,11161732.000000,1230.816847,874.408109
3500.000000,6000.000000,203.380730,203.380830,11161732.000000,1230.816847,874.408109
3600.000000,6000.000000,208.644544,208.644633,11161732.000000,1237.710650,884.890185
3700.000000,6000.000000,213.713407,213.713512,11161732.000000,1237.710650,884.890185
3800.000000,6000.000000,219.952357,219.952447,11161732.000000,1237.710650,884.890185
3900.000000,6000.000000,226.421696,226.421799,11161732.000000,1237.710650,884.890185
4000.000000,6000.000000,231.537270,231.537383,11161732.000000,1237.710650,884.890185
4100.000000,6000.000000,237.437216,237.437311,11161732.000000,1237.710650,884.890185
4200.000000,6000.000000,243.701326,243.701422,11161732.000000,1237.710650,884.890185
4300.000000,6000.000000,248.952740,248.952827,11161732.000000,1237.710650,884.890185
4400.000000,6000.000000,254.731017,254.731111,11161732.000000,1237.710650,884.890185
4500.000000,6000.000000,259.910806,259.910908,11161732.000000,1261.761083,907.478810
4600.000000,6000.000000,268.041432,268.041666,11161732.000000,1261.761083,907.478810
4700.000000,6000.000000,271.205852,271.205949,11161732.000000,1261.761083,907.478810
4800.000000,6000.000000,277.652986,277.653117,11161732.000000,1261.761083,907.478810
4900.000000,6000.000000,284.040885,284.041036,11161732.000000,1261.761083,907.478810
5000.000000,6000.000000,289.279187,289.279290,11161732.000000,1261.761083,907.478810
5100.000000,6000.000000,293.296441,293.296611,11161732.000000,1261.761083,907.478810
5200.000000,6000.000000,301.675660,301.675772,11161732.000000,1261.761083,907.478810
5300.000000,6000.000000,306.795726,306.795808,11161732.000000,1261.761083,907.478810
5400.000000,6000.000000,312.431403,312.431508,11161732.000000,1261.761083,907.478810
5500.000000,6000.000000,315.780294,315.780398,11161732.000000,1234.775168,853.894630
5600.000000,6000.000000,323.533555,323.533644,11161732.000000,1234.775168,853.894630
5700.000000,6000.000000,328.913352,328.913438,11161732.000000,1234.775168,853.894630
5800.000000,6000.000000,335.236044,335.236198,11161732.000000,1234.775168,853.894630
5900.000000,6000.000000,340.541477,340.541615,11161732.000000,1234.775168,853.894630
6000.000000,6000.000000,345.991492,345.991595,11161732.000000,1234.775168,853.894630
100.000000,5600.000000,8.696953,8.697046,11161732.000000,1130.890453,867.379902
200.000000,5600.000000,14.208891,14.208983,11161732.000000,1130.890453,867.379902
300.000000,5600.000000,20.383687,20.383773,11161732.000000,1181.719807,857.317254
400.000000,5600.000000,25.743515,25.743608,11161732.000000,1181.719807,857.317254
500.000000,5600.000000,31.410498,31.410579,11161732.000000,1181.719807,857.317254
600.000000,5600.000000,37.428828,37.428906,11161732.000000,1195.130688,844.118510
700.000000,5600.000000,42.919528,42.919625,11161732.000000,1195.130688,844.118510
800.000000,5600.000000,48.653409,48.653497,11161732.000000,1195.130688,844.118510
900.000000,5600.000000,54.680489,54.680580,11161732.000000,1195.130688,844.118510
1000.000000,5600.000000,60.232147,60.232238,11161732.000000,1229.324851,902.493736
1100.000000,5600.000000,66.109269,66.109362,11161732.000000,1229.324851,902.493736
1200.000000,5600.000000,71.802700,71.802789,11161732.000000,1229.324851,902.493736
1300.000000,5600.000000,77.080832,77.080921,11161732.000000,1229.324851,902.493736
1400.000000,5600.000000,83.111803,83.111893,11161732.000000,1229.324851,902.493736
1500.000000,5600.000000,89.189422,89.189525,11161732.000000,1212.134683,888.202300
1600.000000,5600.000000,94.151542,94.151631,11161732.000000,1212.134683,888.202300
1700.000000,5600.000000,99.971941,99.972025,11161732.000000,1212.134683,888.202300
1800.000000,5600.000000,105.644031,105.644122,11161732.000000,1212.134683,888.202300
1900.000000,5600.000000,112.666887,112.666978,11161732.000000,1212.134683,888.202300
2000.000000,5600.000000,117.259115,117.259237,11161732.000000,1212.134683,888.202300
2100.000000,5600.000000,122.755995,122.756086,11161732.000000,1205.578522,905.871789
2200.000000,5600.000000,129.676166,129.676282,11161732.000000,1205.578522,905.871789
2300.000000,5600.000000,134.540012,134.540136,11161732.000000,1205.578522,905.871789
2400.000000,5600.000000,140.068912,140.069043,11161732.000000,1205.578522,905.871789
2500.000000,5600.000000,145.944937,145.945053,11161732.000000,1205.578522,905.871789
2600.000000,5600.000000,151.918493,151.918581,11161732.000000,1205.578522,905.871789
2700.000000,5600.000000,157.745592,157.745681,11161732.000000,1205.578522,905.871789
2800.000000,5600.000000,162.812291,162.812409,11161732.000000,1230.816847,874.408109
2900.000000,5600.000000,170.025638,170.025750,11161732.000000,1230.816847,874.408109
3000.000000,5600.000000,174.471790,174.471893,11161732.000000,1230.816847,874.408109
3100.000000,5600.000000,181.178132,181.178231,11161732.000000,1230.816847,874.408109
3200.000000,5600.000000,186.815142,186.815359,11161732.000000,1230.816847,874.408109
3300.000000,5600.000000,191.203484,191.203583,11161732.000000,1230.816847,874.408109
3400.000000,5600.000000,197.608598,197.608710,11161732.000000,1230.816847,874.408109
3500.000000,5600.000000,202.897455,202.897576,11161732.000000,1230.816847,874.408109
3600.000000,5600.000000,209.871347,209.871457,11161732.000000,1237.710650,884.890185
3700.000000,5600.000000,214.181400,214.181517,11161732.000000,1237.710650,884.890185
3800.000000,5600.000000,220.736887,220.736979,11161732.000000,1237.710650,884.890185
3900.000000,5600.000000,226.285408,226.285518,11161732.000000,1237.710650,884.890185
4000.000000,5600.000000,231.269870,231.269996,11161732.000000,1237.710650,884.890185
4100.000000,5600.000000,237.362252,237.362377,11161732.000000,1237.710650,884.890185
4200.000000,5600.000000,243.112819,243.112919,11161732.000000,1237.710650,884.890185
4300.000000,5600.000000,248.230832,248.230929,11161732.000000,1237.710650,884.890185
4400.000000,5600.000000,255.376528,255.376654,11161732.000000,1237.710650,884.890185
4500.000000,5600.000000,259.834314,259.834442,11161732.000000,1261.761083,907.478810
4600.000000,5600.000000,265.970155,265.970255,11161732.000000,1261.761083,907.478810
4700.000000,5600.000000,272.467861,272.467971,11161732.000000,1261.761083,907.478810
4800.000000,5600.000000,278.041286,278.041401,11161732.000000,1261.761083,907.478810
4900.000000,5600.000000,283.968351,283.968453,11161732.000000,1261.761083,907.478810
5000.000000,5600.000000,288.036585,288.036695,11161732.000000,1261.761083,907.478810
5100.000000,5600.000000,294.888750,294.888853,11161732.000000,1261.761083,907.478810
5200.000000,5600.000000,299.982050,299.982162,11161732.000000,1261.761083,907.478810
5300.000000,5600.000000,307.587965,307.588063,11161732.000000,1261.761083,907.478810
5400.000000,5600.000000,312.225601,312.225726,11161732.000000,1261.761083,907.478810
5500.000000,5600.000000,316.391899,316.392043,11161732.000000,1234.775168,853.894630
5600.000000,5600.000000,323.977465,323.977576,11161732.000000,1234.775168,853.894630
100.000000,5200.000000,8.643362,8.643457,11161732.000000,1130.890453,867.379902
200.000000,5200.000000,14.368127,14.368210,11161732.000000,1130.890453,867.379902
300.000000,5200.000000,20.005454,20.005559,11161732.000000,1181.719807,857.317254
400.000000,5200.000000,25.770723,25.770818,11161732.000000,1181.719807,857.317254
500.000000,5200.000000,31.366823,31.366908,11161732.000000,1181.719807,857.317254
600.000000,5200.000000,37.111453,37.111575,11161732.000000,1195.130688,844.118510
700.000000,5200.000000,42.682318,42.682420,11161732.000000,1195.130688,844.118510
800.000000,5200.000000,49.168896,49.168982,11161732.000000,1195.130688,844.118510
900.000000,5200.000000,54.335576,54.335674,11161732.000000,1195.130688,844.118510
1000.000000,5200.000000,60.104590,60.104690,11161732.000000,1229.324851,902.493736
1100.000000,5200.000000,66.388453,66.388543,11161732.000000,1229.324851,902.493736
1200.000000,5200.000000,71.411879,71.411985,11161732.000000,1229.324851,902.493736
1300.000000,5200.000000,77.045878,77.046001,11161732.000000,1229.324851,902.493736
1400.000000,5200.000000,82.810980,82.811093,11161732.000000,1229.324851,902.493736
1500.000000,5200.000000,88.572297,88.572403,11161732.000000,1212.134683,888.202300
1600.000000,5200.000000,95.250395,95.250476,11161732.000000,1212.134683,888.202300
1700.000000,5200.000000,100.742888,100.742997,11161732.000000,1212.134683,888.202300
1800.000000,5200.000000,105.744510,105.744613,11161732.000000,1212.134683,888.202300
1900.000000,5200.000000,112.220485,112.220580,11161732.000000,1212.134683,888.202300
2000.000000,5200.000000,117.041700,117.041817,11161732.000000,1212.134683,888.202300
2100.000000,5200.000000,123.162727,123.162804,11161732.000000,1205.578522,905.871789
2200.000000,5200.000000,128.529885,128.529987,11161732.000000,1205.578522,905.871789
2300.000000,5200.000000,134.935263,134.935366,11161732.000000,1205.578522,905.871789
2400.000000,5200.000000,140.493910,140.494002,11161732.000000,1205.578522,905.871789
2500.000000,5200.000000,146.204605,146.204715,11161732.000000,1205.578522,905.871789
2600.000000,5200.000000,151.799657,151.799739,11161732.000000,1205.578522,905.871789
2700.000000,5200.000000,157.776504,157.776645,11161732.000000,1205.578522,905.871789
2800.000000,5200.000000,162.880387,162.880501,11161732.000000,1230.816847,874.408109
2900.000000,5200.000000,168.326970,168.327069,11161732.000000,1230.816847,874.408109
3000.000000,5200.000000,173.680535,173.680686,11161732.000000,1230.816847,874.408109
3100.000000,5200.000000,179.542553,179.542697,11161732.000000,1230.816847,874.408109
3200.000000,5200.000000,187.208216,187.208304,11161732.000000,1230.816847,874.408109
3300.000000,5200.000000,190.921403,190.921487,11161732.000000,1230.816847,874.408109
3400.000000,5200.000000,196.808861,196.808973,11161732.000000,1230.816847,874.408109
3500.000000,5200.000000,202.431357,202.431449,11161732.000000,1230.816847,874.408109
3600.000000,5200.000000,210.093969,210.094058,11161732.000000,1237.710650,884.890185
3700.000000,5200.000000,214.385795,214.386001,11161732.000000,1237.710650,884.890185
3800.000000,5200.000000,221.050589,221.050676,11161732.000000,1237.710650,884.890185
3900.000000,5200.000000,226.475560,226.475728,11161732.000000,1237.710650,884.890185
4000.000000,5200.000000,231.349817,231.349911,11161732.000000,1237.710650,884.890185
4100.000000,5200.000000,237.457933,237.458029,11161732.000000,1237.710650,884.890185
4200.000000,5200.000000,244.297745,244.297841,11161732.000000,1237.710650,884.890185
4300.000000,5200.000000,249.983455,249.983563,11161732.000000,1237.710650,884.890185
4400.000000,5200.000000,254.069561,254.069655,11161732.000000,1237.710650,884.890185
4500.000000,5200.000000,260.124244,260.124361,11161732.000000,1261.761083,907.478810
4600.000000,5200.000000,268.315581,268.315720,11161732.000000,1261.761083,907.478810
4700.000000,5200.000000,273.024871,273.025039,11161732.000000,1261.761083,907.478810
4800.000000,5200.000000,278.236745,278.236842,11161732.000000,1261.761083,907.478810
4900.000000,5200.000000,284.087160,284.087316,11161732.000000,1261.761083,907.478810
5000.000000,5200.000000,288.512806,288.512890,11161732.000000,1261.761083,907.478810
5100.000000,5200.000000,294.003822,294.003910,11161732.000000,1261.761083,907.478810
5200.000000,5200.000000,302.657058,302.657168,11161732.000000,1261.761083,907.478810
100.000000,4800.000000,8.606214,8.606337,11161732.000000,1130.890453,867.379902
200.000000,4800.000000,14.296102,14.296204,11161732.000000,1130.890453,867.379902
300.000000,4800.000000,20.071644,20.071750,11161732.000000,1181.719807,857.317254
400.000000,4800.000000,25.660626,25.660728,11161732.000000,1181.719807,857.317254
500.000000,4800.000000,31.364836,31.364946,11161732.000000,1181.719807,857.317254
600.000000,4800.000000,37.189176,37.189265,11161732.000000,1195.130688,844.118510
700.000000,4800.000000,43.901225,43.901325,11161732.000000,1195.130688,844.118510
800.000000,4800.000000,48.806788,48.806888,11161732.000000,1195.130688,844.118510
900.000000,4800.000000,54.475900,54.476011,11161732.000000,1195.130688,844.118510
1000.000000,4800.000000,60.241618,60.241733,11161732.000000,1229.324851,902.493736
1100.000000,4800.000000,65.672555,65.672646,11161732.000000,1229.324851,902.493736
1200.000000,4800.000000,71.338123,71.338224,11161732.000000,1229.324851,902.493736
1300.000000,4800.000000,77.177514,77.177605,11161732.000000,1229.324851,902.493736
1400.000000,4800.000000,83.681696,83.681812,11161732.000000,1229.324851,902.493736
1500.000000,4800.000000,88.750525,88.750636,11161732.000000,1212.134683,888.202300
1600.000000,4800.000000,94.162962,94.163073,11161732.000000,1212.134683,888.202300
1700.000000,4800.000000,100.035569,100.035672,11161732.000000,1212.134683,888.202300
1800.000000,4800.000000,106.739326,106.739422,11161732.000000,1212.134683,888.202300
1900.000000,4800.000000,111.393426,111.393542,11161732.000000,1212.134683,888.202300
2000.000000,4800.000000,116.861825,116.861926,11161732.000000,1212.134683,888.202300
2100.000000,4800.000000,124.102448,124.102544,11161732.000000,1205.578522,905.871789
2200.000000,4800.000000,128.649527,128.649632,11161732.000000,1205.578522,905.871789
2300.000000,4800.000000,135.449203,135.449314,11161732.000000,1205.578522,905.871789
2400.000000,4800.000000,140.788723,140.788839,11161732.000000,1205.578522,905.871789
2500.000000,4800.000000,145.592210,145.592328,11161732.000000,1205.578522,905.871789
2600.000000,4800.000000,152.070874,152.070979,11161732.000000,1205.578522,905.871789
2700.000000,4800.000000,157.818519,157.818728,11161732.000000,1205.578522,905.871789
2800.000000,4800.000000,162.707745,162.707842,11161732.000000,1230.816847,874.408109
2900.000000,4800.000000,168.207743,168.207837,11161732.000000,1230.816847,874.408109
3000.000000,4800.000000,174.156388,174.156491,11161732.000000,1230.816847,874.408109
3100.000000,4800.000000,179.518823,179.519175,11161732.000000,1230.816847,874.408109
3200.000000,4800.000000,186.827994,186.828080,11161732.000000,1230.816847,874.408109
3300.000000,4800.000000,191.360454,191.360561,11161732.000000,1230.816847,874.408109
3400.000000,4800.000000,196.689171,196.689273,11161732.000000,1230.816847,874.408109
3500.000000,4800.000000,204.206853,204.206949,11161732.000000,1230.816847,874.408109
